Data e Hora;Saturação de água no óleo - % (Monitor de Umidade MO - Transformador);Saturação de água no óleo convertida para temperatura de referência - % (Monitor de Umidade MO - Transformador);Teor de água no óleo - ppm (Monitor de Umidade MO - Transformador);Temperatura do óleo no sensor de umidade - ºC (Monitor de Umidade MO - Transformador);Tendência de evolução do teor de água no óleo - ppm/dia (Monitor de Umidade MO - Transformador)
26/04/2022 21:23:12;4,7;6,4;4,4;33,4;0
26/04/2022 21:38:06;4,7;6,4;4,4;33,2;0,1
26/04/2022 21:53:08;4,7;6,3;4,3;32,8;0,1
26/04/2022 22:08:11;4,7;6,3;4,3;32,6;0,1
26/04/2022 22:23:21;4,9;6,4;4,4;32,2;0,1
26/04/2022 22:38:11;4,9;6,3;4,3;32;0
26/04/2022 22:53:09;4,9;6,3;4,3;31,7;0
26/04/2022 23:08:08;4,9;6,1;4,2;31,3;0
26/04/2022 23:23:10;4,9;6,1;4,2;31;0
26/04/2022 23:38:06;4,8;5,9;4;30,6;0
26/04/2022 23:53:06;5;6,1;4,2;30,4;0
27/04/2022 00:08:11;5;6;4,1;30,1;0
27/04/2022 00:23:07;5;6;4,1;29,9;0
27/04/2022 00:38:12;5;5,9;4;29,6;0
27/04/2022 00:53:07;5;5,9;4;29,5;0
27/04/2022 01:08:07;5;5,7;3,9;28,5;0
27/04/2022 01:23:04;5;5,6;3,8;28,3;0
27/04/2022 01:38:05;5;5,6;3,8;28,3;0
27/04/2022 01:53:06;5,2;5,7;3,9;27,8;0
27/04/2022 02:08:10;5,1;5,4;3,7;27,3;0
27/04/2022 02:23:06;5,1;5,4;3,7;27,1;0
27/04/2022 02:38:11;5,1;5,4;3,7;26,8;0
27/04/2022 02:53:08;5,1;5,3;3,6;26,6;0
27/04/2022 03:08:06;5,1;5,3;3,6;26,5;0
27/04/2022 03:23:04;5,1;5,3;3,6;26,4;0
27/04/2022 03:38:05;5,1;5,3;3,6;26,3;0
27/04/2022 03:53:04;5,1;5,3;3,6;26,2;0
27/04/2022 04:08:02;5,1;5,1;3,5;25,4;0
27/04/2022 04:23:04;5,1;5,1;3,5;25,5;0
27/04/2022 04:37:59;5,1;5,1;3,5;25,4;0
27/04/2022 04:53:05;5,1;5;3,4;25,2;0
27/04/2022 05:08:00;5,1;5;3,4;25,2;0
27/04/2022 05:23:01;5,1;5,1;3,5;25,6;0
27/04/2022 05:38:03;5;5;3,4;25,6;0
27/04/2022 05:53:04;5;5;3,4;25,4;0
27/04/2022 06:08:04;5,1;5;3,4;25;0
27/04/2022 06:23:07;5;5;3,4;25,4;0
27/04/2022 06:38:05;5;5;3,4;25,3;0
27/04/2022 06:53:08;5;5;3,4;25,1;0
27/04/2022 07:08:21;5;5;3,4;25,4;0
27/04/2022 07:23:00;5;4,8;3,3;25;0
27/04/2022 07:38:32;5;5;3,4;25,3;0
27/04/2022 07:53:34;4,8;4,8;3,3;25,9;0
27/04/2022 08:08:00;4,8;5;3,4;26,2;0
27/04/2022 08:23:02;4,8;5;3,4;26,5;0
27/04/2022 08:38:00;4,7;5;3,4;27;0
27/04/2022 08:53:05;4,7;5;3,4;27,3;0
27/04/2022 09:08:06;4,7;5;3,4;27,3;0
27/04/2022 09:23:02;4,5;5;3,4;28,2;0
27/04/2022 09:38:07;4,5;5,1;3,5;28,6;0
27/04/2022 09:53:15;4,5;5,1;3,5;29;0
27/04/2022 10:08:42;4,5;5,3;3,6;29,3;0
27/04/2022 10:23:13;4,5;5,3;3,6;29,7;0
27/04/2022 10:38:15;4,4;5,3;3,6;30,3;0
27/04/2022 10:53:23;4,4;5,4;3,7;30,6;0
27/04/2022 11:08:13;4,4;5,6;3,8;31,1;0
27/04/2022 11:23:01;4,2;5,4;3,7;31,6;0
27/04/2022 11:38:03;4,2;5,4;3,7;32;0
27/04/2022 11:53:14;4,2;5,6;3,8;32,7;0
27/04/2022 12:08:02;4,2;5,7;3,9;33,3;0
27/04/2022 12:23:12;4,1;5,6;3,8;33,1;0
27/04/2022 12:38:11;4,2;5,7;3,9;33,5;0
27/04/2022 12:53:52;4,2;5,7;3,9;33,5;0
27/04/2022 13:08:22;4,2;5,9;4;33,7;0
27/04/2022 13:23:22;4,2;5,9;4;34,1;0
27/04/2022 13:38:24;4,2;5,9;4;33,7;0
27/04/2022 13:53:25;4,1;5,7;3,9;34;0
27/04/2022 14:08:15;4,2;6;4,1;34,3;0
27/04/2022 14:23:29;4,1;6;4,1;34,9;0
